Address,txn_nums,event_nums,creation_block,creation_timestamp,start_block,end_block,life_time,start_time,end_time,duration_seconds,from_creation_to_transfer,num_addresses,num_buyers,num_sellers,num_creator_transfers,buy_amt,sell_amt,avg_value,txn_per_block,avg_gas_limit,max_gas_limit,min_gas_limit,std_gas_limit,avg_gas_used,max_gas_used,min_gas_used,std_gas_used,avg_gas_price,max_gas_price,min_gas_price,std_gas_price,ownershiptransferred_num,transfer_num,atinversebrah_num,approval_num,approve_num,renounceownership_num,removefee_num,transferfrom_num,burn_num,increaseallowance_num,swapexacttokensforethsupportingfeeontransfertokens_num,transferownership_num,opentrading_num,rolegranted_num,mint_num,swapandliquify_num,bridgemint_num,setbridgeaddress_num,setswapandliquifyenabled_num,createstrongtrade_num,enablestrongtrade_num,removestronglimit_num,safesetup_num,safereceived_num,executionsuccess_num,exectransaction_num,setpresale_num,settaxlesssetter_num,setstabilizer_num,setliquidityreserve_num,buy_num,mintunlockedtranche_num,mintlockedtranche_num,startmint_num,distributeeth_num,batchmint_num,manualdailyupdate_num,startstake_num,deposit_num,burnlptokens_num,triggerpayouts_num,batchclaimmint_num,batchmintladder_num,claimmint_num,setairdropenabled_num,airdropmint_num,claimwsbmoderatorsallocation_num,mintremainderofairdropsupply_num,setdeeznutz_num,mine_num,transfertokens_num,maxtxamountupdated_num,removelimits_num,transferenabled_num,payeeadded_num,setnotrevealeduri_num,giftmint_num,presalemint_num,changepresalestate_num,setapprovalforall_num,safetransferfrom_num,release_num,setbaseuri_num,reveal_num,createordinaltrade_num,enableordinaltrade_num,removeordinallimit_num
0xe1a0ce8b94c6a5e4791401086763d7bd0a6c18f5,1,0,0,0,16112947,16112947,0,1670175071,1670175071,0,0,2,1,1,0,0,0,0.0,0.0,32340.0,32340,32340,0.0,21560.0,21560,21560,0.0,11220397127.0,11220397127,11220397127,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x17e65e6b9b166fb8e7c59432f0db126711246bc0,4,0,0,0,14557861,19836944,5279083,1649592365,1715311571,65719206,0,5,1,4,0,0,1348945161063647749,2.6978903221272954e+17,7.577072082959847e-07,35526.0,56424,21000,12923.160139841957,21516.0,21944,21000,336.6422433385329,16893467075.5,30350049245,3000000000,10055321480.467337,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x42269ac712372ac89a158ad5a32806c6b6782d66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x87230146e138d3f296a9a77e497a2a83012e9bc5,31,0,0,0,13494159,21205389,7711230,1635266899,1731821915,96555016,0,27,1,26,0,0,219257262505545889,6851789453298309.0,4.020110407793516e-06,44222.77419354839,207128,21000,45297.88427424845,21375.74193548387,21944,21000,388.6996491813098,98010797736.45161,252476563578,886840416,76908581684.2676,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x9d52414c4cc1fb8e7864a9b59495f430f8e5de44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x11cbc781dadaad13fc3a361772c80b1c027820af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe4182e57eeb29fbc2b3469e45c9e385cea8995ab,2,0,0,0,15304076,15874186,570110,1659995217,1667293655,7298438,0,3,1,2,0,0,7638189755518656,2546063251839552.0,3.5080887756945577e-06,21000.0,21000,21000,0.0,21000.0,21000,21000,0.0,25020589883.5,40528594298,9512585469,15508004414.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x91383a15c391c142b80045d8b4730c1c37ac0378,1647,1000,11716328,1611464526,11716328,22861466,11145138,1611464526,1751820647,140356121,0,1344,3,1342,2,75000000000000000000,75000000000000000000,9.101941747572816e+16,0.00014777743014241456,154334.20825743777,8000000,2300,588012.8146586139,57192.02125075895,3069602,0,80240.33553427768,100981263026.31209,465300000000,0,45910350223.745926,1.0,156.0,1.0,187.0,1458.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x93023f1d3525e273f291b6f76d2f5027a39bf302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,20000,1000,18447145,1698477323,18447145,18455122,7977,1698477323,1698573779,96456,0,3295,1559,3268,9999,2033447611527999999520,3483018361140879999496,2.758095081580361e+17,2.5068939583855605,342067.91905,28500000,4398,858273.9168938636,141307.03485,9795816,0,522364.66715263086,7086355214.32755,1010362687048,0,12227758684.511003,0.0,80.0,0.0,42.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5381.0,427.0,1883.0,62.0,630.0,1.0,1.0,1.0,5.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
